area,single,"married, no kids","not married, no kids","married, with kids","not married, with kids",single parent,other,total,stadsdeel,m2,wd,dist,woz-value per m2
N66g Circus/Kermisbuurt,315.0,93.0,47.0,124.0,49.0,66.0,1.0,695.0,6,80.40682656826569,77.45510008599014,0.04234955142114837,2168.0
N67a Kadoelen,238.0,200.0,62.0,164.0,81.0,86.0,7.0,838.0,6,98.67876165113182,104.7765181613349,0.03866444242585922,3004.0
N67b Twiske Oost,124.0,109.0,26.0,126.0,38.0,45.0,2.0,470.0,6,92.78402366863905,52.83701059093729,0.046432577334672986,2366.0
N68a Baanakkerspark Noord,202.0,60.0,38.0,23.0,15.0,20.0,7.0,365.0,6,70.42031334413831,285.6588640593876,0.020830537109017163,1851.0
N68b Baanakkerspark Zuid,134.0,61.0,32.0,18.0,8.0,10.0,5.0,268.0,6,95.54171301446051,285.6588640593876,0.020830537109017163,1798.0
N68c Werengouw Midden,1239.0,245.0,175.0,382.0,90.0,339.0,31.0,2501.0,6,69.23988439306359,333.80066070903763,0.019103643385754692,2076.0
N68d Markengouw Midden,474.0,122.0,92.0,387.0,84.0,300.0,19.0,1478.0,6,89.51431167651067,270.59794712150733,0.021931269599598263,2201.0
N68e Markengouw Zuid,253.0,68.0,39.0,190.0,34.0,126.0,12.0,722.0,6,78.76006113092205,350.79359645590006,0.01664690307114408,1963.0
N68f Werengouw Zuid,218.0,90.0,23.0,170.0,41.0,112.0,5.0,659.0,6,97.65709074327405,319.28734856483544,0.01462143614056116,2193.0
N69a Rode Kruisbuurt,36.0,20.0,3.0,29.0,4.0,4.0,1.0,97.0,6,127.83957466481738,331.4611574925711,0.019712801690785264,2163.0
N69c Loenermark,531.0,113.0,60.0,76.0,29.0,60.0,8.0,877.0,6,72.27001127395715,260.03245855601875,0.0237059439059614,1774.0
N69j Buikslotermeerplein,451.0,73.0,63.0,31.0,8.0,27.0,5.0,658.0,6,79.84744268077601,266.7690511695747,0.023056908740333212,2268.0
N69k Plan van Gool,694.0,136.0,109.0,188.0,71.0,212.0,12.0,1422.0,6,71.59851513420902,305.0093881638384,0.02098697379811237,1751.0
N69l De Kleine Wereld,495.0,174.0,61.0,222.0,52.0,251.0,10.0,1265.0,6,75.47732181425486,236.99982040034394,0.02621121285199735,1852.0
N69m Buikslotermeer Noord,975.0,220.0,101.0,115.0,36.0,81.0,19.0,1547.0,6,87.74186991869918,205.8440966137301,0.027578602915307518,1968.0
N70a Banne Zuidwest,617.0,174.0,94.0,343.0,77.0,224.0,19.0,1548.0,6,82.19429414658141,201.3199867205103,0.030590574086188517,2033.0
N70b Banne Zuidoost,859.0,272.0,116.0,246.0,95.0,151.0,14.0,1753.0,6,84.00479156684236,225.91666031718387,0.028510760755419567,2087.0
N70c Banne Noordwest,536.0,139.0,57.0,237.0,40.0,179.0,15.0,1203.0,6,75.1140350877193,115.20624571409911,0.03632175275854157,1938.0
N70d Banne Noordoost,572.0,270.0,75.0,349.0,74.0,213.0,19.0,1572.0,6,84.1904266389178,180.25719214986228,0.03451561958432695,1922.0
N70e Buiksloterbreek,36.0,41.0,8.0,33.0,9.0,9.0,2.0,138.0,6,108.26131953428202,239.83059398504426,0.027462751158118744,3092.0
